id,content,createdAt,updatedAt
16,Toyota Camry ACV50 ACV51 2012-2018,2024-07-11 05:17:01.393,2024-07-11 05:17:01.393
17,"Toyota Vios Gen1 2002-2007
เครื่อง 1.5 1NZ-FE (มี VVT-i),
1.3 2NZ-FE,
1.5 5AFE",2024-07-11 10:44:27.032,2024-07-11 10:48:04.772
18,จานคลัช Nissan Big-M ยี่ห้อ Exedy (DK) ขนาด 240x24Tx25.6 (9นิ้วครึ่ง),2024-07-11 15:15:53.795,2024-07-11 15:15:53.795
19,จานกดคลัช Nissan Big-M ยี่ห้อ Exedy (DK) ขนาด 240x280,2024-07-11 15:16:10.525,2024-07-11 15:16:29.571
20,เกย์วัดน้ำมัน คือ ปั้มติ๊ก + ลูกลอย,2024-07-12 01:53:54.504,2024-07-12 01:53:54.504
21,"มือเปิดนอกหลัง Susuki swift
ปี12-17 อยู่ด้่นล่าง
ปี18 อยู่ด้านบน",2024-07-13 02:59:31.76,2024-07-13 02:59:31.76
22,"ลูกปืน 32310/55
ลูกปืนล้อหน้าตับใน IS TX หน้ายาว",2024-07-13 03:01:43.662,2024-07-13 03:02:07.851
23,Toyota โซลูนา (Soluna) = AL50,2024-07-13 04:00:52.748,2024-07-13 04:00:52.748
24,"หม้อน้ำ Jazz ตัวแรก (ยังไม่มี Vtec) เกียร์ออโต้ มี 3 ท่อ + มีแป๊บไว้ต่อท่อนมก.
- รถเกียร์ออโต้ต้องใช้น้ำมันเกียร์ ต่อท่อเข้ามาที่หม้อน้ำ เพื่อระบายความร้อน
- สังเกตที่ตูดหม้อน้ำจะมีแป๊บ 2 จุดไว้ต่อท่อน้ำมันเกียร์",2024-07-15 02:55:47.724,2024-07-15 02:55:47.724
25,"สายPW (สายพวงมาลัยพาวเวอร์)
Toyota AE101 มีปลายสาย 2 แบบ
1. แบบโอริง 2. แบบเตเปอร์(หัวบาน)",2024-07-15 03:03:35.344,2024-07-15 03:03:35.344
26,"Toyota Yaris 
รหัสเครื่อง NSP152R-AHXRKT
เครื่อง 3NR-FE(หัวฉีด)
1197cc",2024-07-15 03:05:59.034,2024-07-15 03:05:59.034
27,วาล์วน้ำ มังกร 82 °c ถ้าอยากใช้ 76 °c ให้ใช้ของ Big-M แทน,2024-07-15 03:08:29.708,2024-07-15 03:08:29.708
28,การทำงานของวาล์วน้ำ,2024-07-15 03:09:43.415,2024-07-15 03:09:43.415
29,การทำงานของหม้อน้ำ แบบมีเกียร์ออโต้,2024-07-15 03:13:59.856,2024-07-15 03:13:59.856
30,"มูเล่ย์ไดชาร์ท รถ ISUZU D-Max (all new) 1.9 ต้องหยิบตามสายพานไดร์ของรถคันนั้น จะมี 2 ร่อง 6pk กับ 7pk ",2024-07-17 04:17:57.128,2024-07-17 04:17:57.128
31,ลป.ล้อหน้า TO Vigo ตัวเตี้ย (2WD) ยี่ห้อ NSK ขนาด 43*77*41.5/45.5,2024-07-18 01:45:32.295,2024-07-18 01:45:32.295
32,ยางฝาวาวล์ว HD city ZX เวลาหยิบต้องถามว่าเป็นแบบ 4 หัวเทียน หรือ 8 หัวเทียน,2024-07-20 04:47:18.065,2024-07-20 04:47:18.065
33,เซ็นเซอร์ท้ายราง = เซ็นเซอร์ราวหัวฉีด,2024-07-20 04:47:39.56,2024-07-20 04:47:39.56
34,สายพานราวลิ้น=สายพานไทม์มิ่ง,2024-07-20 04:48:30.286,2024-07-20 04:48:54.581
35,สายพานหน้าเครื่อง=สายพานไดร์,2024-07-20 04:49:11.842,2024-07-20 04:49:11.842
36,Honda Civic FD 2005-2012 นางฟ้า (ไฟท้าย วงกลมสองวง),2024-07-20 05:30:13.414,2024-07-22 06:26:10.288
37,Honda Civic FC 2016-2021,2024-07-20 05:31:32.472,2024-07-20 05:31:32.472
38,"กรองเครื่อง Toyota Vigo = BO
Speedmate SM-OFJ0I0",2024-07-20 05:35:04.812,2024-07-20 05:37:34.558
39,"กรองเครื่อง Isuzu D-Max 1.9 = BO271 =
Mahle OX1287D",2024-07-20 05:35:33.795,2024-07-20 11:19:54.653
40,กรองโซล่า Toyota Vigo ใช้ Isuzu D-Max 12 แทนได้,2024-07-20 05:43:37.131,2024-07-20 05:43:37.131
41,"Toyota Corolla 3ห่วง AE100 1600,
EE100 1300",2024-07-22 09:39:15.836,2024-07-22 09:41:09.495
42,ซีลราวลิ้น Toyota 1J 2J 52.5-40.5,2024-07-26 06:36:18.166,2024-07-26 06:40:17.493
43,ซีลคอหน้า Toyota 1J 2J 63-47,2024-07-26 06:40:38.197,2024-07-26 06:40:38.197
44,Mazda M2 ไม่สกาย = เฟียสต้า,2024-07-31 05:49:22.295,2024-07-31 05:49:22.295
45,โช้คหน้า Honda Civic 01 ไดเมนชั่น ต้องถามขนาดแกน,2024-07-31 08:04:42.485,2024-07-31 08:04:42.485
46,ลูกหมากปีกนกล่าง ลม.ปีกนกล่าง Isuzu D-Max all new ตัวเตี้ย=ตัวสูง,2024-08-02 08:20:03.461,2024-08-02 08:20:03.461
47,กรองเครื่อง Chevrolet Aveo = BO206,2024-08-03 03:57:54.082,2024-08-03 03:58:22.316
48,กรองเครื่อง Nissan Navara ใช้เบอร์เดียวกับ NP300,2024-08-03 03:59:04.681,2024-08-03 03:59:04.681
49,"Nissan Navara - D40 ปี2003-2013, NP300 ปี2013 ขึ้นไป",2024-08-03 04:11:26.909,2024-08-03 04:17:31.064
50,สายพานปั๊ม = สายพานบาลานซ์,2024-08-05 05:10:49.079,2024-08-05 05:10:49.079
51,Honda Civic FB 2013-2015,2024-08-13 03:01:42.881,2024-08-13 03:01:42.881
